111,345,-19,293,307,-92
84,383,-16,363,164,-78
488,179,-50,416,119,-62
308,115,-99,224,298,-75
258,103,-57,125,275,-41
288,106,-31,493,392,-24
157,320,-32,450,154,-46
321,150,-12,462,307,-31
361,221,-24,173,352,-79
209,190,-34,233,350,-76
184,261,-96,417,285,-13
270,330,-93,163,254,-64
486,260,-10,440,204,-73
163,346,-100,256,327,-66
432,280,-39,437,392,-95
236,341,-17,134,269,-49
295,347,-82,252,202,-83
421,199,-71,482,135,-63
241,349,-90,383,336,-99
175,223,-36,332,308,-31
141,146,-14,84,163,-10
275,273,-57,443,351,-40
345,231,-11,262,275,-22
407,395,-48,331,116,-87
468,285,-97,361,202,-51
138,221,-91,114,322,-48
242,305,-98,205,383,-95
341,218,-77,228,280,-17
461,333,-28,270,125,-51
444,179,-95,492,394,-25
122,192,-68,98,388,-90
417,390,-21,150,195,-38
332,210,-62,158,121,-21
369,393,-47,394,153,-78
171,369,-43,384,374,-69
331,285,-91,461,208,-43
97,227,-89,270,304,-33
204,283,-95,372,273,-84
173,178,-56,302,287,-11
486,202,-68,195,142,-67
95,246,-39,190,397,-49
463,123,-17,249,124,-90
476,107,-91,425,121,-15
407,371,-46,141,164,-68
187,110,-88,227,305,-72
284,155,-11,492,315,-35
172,268,-36,478,223,-31
218,293,-43,378,202,-61
460,149,-97,477,365,-36
489,382,-71,293,314,-32
307,106,-75,179,193,-53
476,289,-93,160,272,-33
275,270,-56,419,243,-52
488,391,-93,390,175,-65
254,334,-87,87,333,-72
168,131,-47,141,101,-55
99,129,-73,117,169,-88
124,250,-36,106,153,-50
59,111,-34,349,137,-55
379,186,-37,98,398,-86
227,228,-47,448,289,-25
449,106,-18,379,146,-56
305,338,-94,160,280,-56
246,214,-53,164,299,-75
450,194,-61,374,382,-62
438,398,-96,494,280,-31
368,196,-32,113,195,-100
233,151,-94,282,335,-21
102,359,-93,110,265,-52
278,353,-82,240,254,-73
446,332,-84,199,342,-36
352,232,-79,480,297,-67
475,174,-50,341,139,-92
278,384,-85,133,324,-25
467,294,-10,410,327,-98
354,199,-37,394,162,-14
373,221,-40,193,306,-58
314,366,-89,357,195,-12
452,286,-33,151,313,-77
409,193,-79,228,362,-31
216,120,-19,112,291,-93
440,375,-68,391,125,-66
454,258,-40,490,216,-30
148,330,-52,465,233,-29
296,207,-64,247,139,-61
453,238,-62,122,302,-93
280,386,-63,247,347,-99
111,127,-17,418,383,-98
259,246,-51,163,284,-86
179,314,-92,225,147,-40
184,184,-57,412,289,-74
228,154,-38,51,314,-59
58,292,-46,252,360,-83
311,121,-32,208,274,-52
133,368,-64,415,305,-96
419,219,-72,386,356,-91
349,228,-68,235,377,-92
286,296,-88,352,149,-54
396,237,-81,196,353,-68
160,176,-77,444,264,-21
427,207,-80,84,132,-36
481,273,-46,205,250,-11
94,388,-98,341,156,-54
442,334,-82,268,167,-28
430,152,-11,171,337,-55
385,220,-49,416,332,-25
418,168,-70,59,358,-61
165,333,-92,287,297,-25
242,193,-35,231,129,-80
420,197,-26,50,204,-68
489,142,-28,484,398,-100
71,221,-43,261,372,-14
101,144,-64,492,326,-51
364,345,-14,412,341,-93
201,370,-73,461,218,-41
404,187,-41,189,330,-74
59,323,-88,450,279,-99
387,389,-67,415,361,-53
291,122,-65,468,325,-20
121,352,-76,367,385,-98
321,331,-66,382,241,-20
253,231,-32,477,364,-36
173,368,-82,108,106,-48
255,174,-99,115,208,-67
304,301,-11,306,374,-31
55,220,-85,455,205,-65
378,124,-70,357,114,-79
147,118,-33,446,133,-65
499,131,-99,81,291,-85
300,286,-93,275,394,-95
424,388,-14,64,338,-89
245,140,-49,301,180,-57
346,201,-19,187,352,-78
131,195,-35,115,316,-34
311,126,-26,500,253,-76
491,350,-67,215,118,-13
429,184,-59,131,178,-97
65,369,-59,112,155,-82
476,187,-69,403,396,-45
377,355,-60,364,390,-63
140,375,-71,60,209,-37
388,155,-27,436,357,-98
402,231,-58,177,370,-14
108,112,-62,387,167,-46
360,106,-100,136,292,-75
428,264,-52,318,322,-96
161,298,-12,469,280,-73
145,183,-49,169,279,-35
391,346,-74,213,300,-100
389,349,-52,493,104,-16
259,386,-29,437,289,-68
371,273,-86,147,232,-55
50,326,-55,335,181,-23
481,385,-80,189,380,-31
205,297,-53,54,150,-60
409,347,-80,467,232,-24
